"Path","Ext","Lines"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\torch\testing\_internal\common_utils.py",".py","5780"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\torch\include\ATen\core\TensorBody.h",".h","5767"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\pip\_vendor\chardet\langrussianmodel.py",".py","5725"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\torch\_inductor\scheduler.py",".py","5719"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\torch\distributed\distributed_c10d.py",".py","5666"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\sympy\core\tests\test_args.py",".py","5517"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\sympy\combinatorics\perm_groups.py",".py","5459"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\sympy\matrices\matrixbase.py",".py","5428"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\more_itertools\more.py",".py","5303"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\torch\_decomp\decompositions.py",".py","5301"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\sympy\tensor\tensor.py",".py","5265"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\numba\parfors\parfor.py",".py","5253"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\sympy\parsing\tests\test_c_parser.py",".py","5248"
"C:\Users\maste\SCINGOS_WORK\ScingOS\package-lock.json",".json","5167"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\torch\_inductor\codegen\triton.py",".py","5082"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\win32\lib\win32con.py",".py","5066"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\numba\np\arraymath.py",".py","5034"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\sympy\physics\control\lti.py",".py","5001"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\numba\tests\test_parfors.py",".py","4970"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\numpy\_core\tests\test_umath.py",".py","4928"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\torch\include\xnnpack.h",".h","4855"
"C:\Users\maste\SCINGOS_WORK\ScingOS\scing-voice-interface\.venv\Lib\site-packages\torch\_dynamo\utils.py",".py","4855"
